Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,147.51868,-118.126924,90.0,bottom
D2,1N4148,D_SOD-123,147.39868,-136.116924,90.0,bottom
D3,1N4148,D_SOD-123,147.36868,-154.126924,90.0,bottom
D4,1N4148,D_SOD-123,150.121322,-191.721321,180.0,bottom
D5,1N4148,D_SOD-123,132.121319,-191.871319,180.0,bottom
D6,1N4148,D_SOD-123,114.121321,-191.87132,180.0,bottom
J1,SM06B-SRSS-TB(LF)(SN),JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,168.020001,-161.96,180.0,bottom
J2,SM06B-SRSS-TB(LF)(SN),JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,106.27,-161.0,270.0,bottom
J4,Conn_01x14_Pin,XUNPU_FPC-05F-14PH20_1x14-1MP_P0.5mm_Horizontal,172.020001,-147.573,180.0,bottom
J5,Conn_01x14_Pin,XUNPU_FPC-05F-14PH20_1x14-1MP_P0.5mm_Horizontal,120.657,-157.0,270.0,bottom
